"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-09-02T11:25:03.875"
INFLA;1083;Syddanmark;15-44;Alle;432318;38;1;0;0;0,03;0,23;8,79;0,00;
INFLA;1083;Syddanmark;15-44;K;209426;18;1;0;0;0,06;0,48;8,59;0,00;
INFLA;1083;Syddanmark;15-44;M;222892;20;0;0;0;0,00;0,00;8,97;0,00;
INFLA;1083;Syddanmark;45-64;Alle;330169;56;0;0;0;0,00;0,00;16,96;0,00;
INFLA;1083;Syddanmark;45-64;K;165306;29;0;0;0;0,00;0,00;17,54;0,00;
INFLA;1083;Syddanmark;45-64;M;164863;27;0;0;0;0,00;0,00;16,38;0,00;
INFLA;1083;Syddanmark;65-74;Alle;142814;42;2;1;0;0,05;1,40;29,41;0,70;
INFLA;1083;Syddanmark;65-74;K;72999;13;1;1;0;0,08;1,37;17,81;1,37;
INFLA;1083;Syddanmark;65-74;M;69815;29;1;0;0;0,03;1,43;41,54;0,00;
INFLA;1083;Syddanmark;75-84;Alle;109538;75;5;3;0;0,07;4,56;68,47;2,74;
INFLA;1083;Syddanmark;75-84;K;58592;28;4;2;0;0,14;6,83;47,79;3,41;
INFLA;1083;Syddanmark;75-84;M;50946;47;1;1;0;0,02;1,96;92,25;1,96;
INFLA;1083;Syddanmark;85+;Alle;35298;38;1;0;0;0,03;2,83;107,65;0,00;
INFLA;1083;Syddanmark;85+;K;21737;21;1;0;0;0,05;4,60;96,61;0,00;
INFLA;1083;Syddanmark;85+;M;13561;17;0;0;0;0,00;0,00;125,36;0,00;
INFLA;1083;Syddanmark;Alle;Alle;1239494;265;9;4;0;0,03;0,73;21,38;0,32;
INFLA;1083;Syddanmark;Alle;K;620091;114;7;3;0;0,06;1,13;18,38;0,48;
INFLA;1083;Syddanmark;Alle;M;619403;151;2;1;0;0,01;0,32;24,38;0,16;
INFLB;Alle;Alle;00-01;Alle;115873;133;0;0;0;0,00;0,00;114,78;0,00;
INFLB;Alle;Alle;00-01;K;56140;48;0;0;0;0,00;0,00;85,50;0,00;
INFLB;Alle;Alle;00-01;M;59733;83;0;0;0;0,00;0,00;138,95;0,00;
INFLB;Alle;Alle;02-06;Alle;310861;53;0;0;0;0,00;0,00;17,05;0,00;
INFLB;Alle;Alle;02-06;K;151106;22;0;0;0;0,00;0,00;14,56;0,00;
INFLB;Alle;Alle;02-06;M;159755;28;0;0;0;0,00;0,00;17,53;0,00;
INFLB;Alle;Alle;07-14;Alle;500543;68;0;0;0;0,00;0,00;13,59;0,00;
INFLB;Alle;Alle;07-14;K;243782;31;0;0;0;0,00;0,00;12,72;0,00;
INFLB;Alle;Alle;07-14;M;256761;36;0;0;0;0,00;0,00;14,02;0,00;
INFLB;Alle;Alle;15-44;Alle;2253878;433;0;0;0;0,00;0,00;19,21;0,00;
INFLB;Alle;Alle;15-44;K;1108182;250;0;0;0;0,00;0,00;22,56;0,00;
INFLB;Alle;Alle;15-44;M;1145696;179;0;0;0;0,00;0,00;15,62;0,00;
INFLB;Alle;Alle;45-64;Alle;1546953;431;1;0;0;0,00;0,06;27,86;0,00;
INFLB;Alle;Alle;45-64;K;776640;234;1;0;0;0,00;0,13;30,13;0,00;
INFLB;Alle;Alle;45-64;M;770313;187;0;0;0;0,00;0,00;24,28;0,00;
INFLB;Alle;Alle;65-74;Alle;626281;333;0;0;0;0,00;0,00;53,17;0,00;
INFLB;Alle;Alle;65-74;K;322982;155;0;0;0;0,00;0,00;47,99;0,00;
INFLB;Alle;Alle;65-74;M;303299;176;0;0;0;0,00;0,00;58,03;0,00;
INFLB;Alle;Alle;75-84;Alle;484384;458;1;1;0;0,00;0,21;94,55;0,21;
INFLB;Alle;Alle;75-84;K;262090;209;0;0;0;0,00;0,00;79,74;0,00;
INFLB;Alle;Alle;75-84;M;222294;242;1;1;0;0,00;0,45;108,86;0,45;
INFLB;Alle;Alle;85+;Alle;150437;208;0;0;0;0,00;0,00;138,26;0,00;
INFLB;Alle;Alle;85+;K;93490;95;0;0;0;0,00;0,00;101,62;0,00;
INFLB;Alle;Alle;85+;M;56947;112;0;0;0;0,00;0,00;196,67;0,00;
INFLB;Alle;Alle;Alle;Alle;5989210;2117;2;1;0;0,00;0,03;35,35;0,02;
INFLB;Alle;Alle;Alle;K;3014412;1044;1;0;0;0,00;0,03;34,63;0,00;
INFLB;Alle;Alle;Alle;M;2974798;1043;1;1;0;0,00;0,03;35,06;0,03;
INFLB;1084;Hovedstaden;00-01;Alle;41318;98;0;0;0;0,00;0,00;237,18;0,00;
INFLB;1084;Hovedstaden;00-01;K;20014;36;0;0;0;0,00;0,00;179,87;0,00;
INFLB;1084;Hovedstaden;00-01;M;21304;62;0;0;0;0,00;0,00;291,03;0,00;
INFLB;1084;Hovedstaden;02-06;Alle;102908;32;0;0;0;0,00;0,00;31,10;0,00;
INFLB;1084;Hovedstaden;02-06;K;50086;14;0;0;0;0,00;0,00;27,95;0,00;
INFLB;1084;Hovedstaden;02-06;M;52822;18;0;0;0;0,00;0,00;34,08;0,00;
INFLB;1084;Hovedstaden;07-14;Alle;158629;47;0;0;0;0,00;0,00;29,63;0,00;
INFLB;1084;Hovedstaden;07-14;K;77386;22;0;0;0;0,00;0,00;28,43;0,00;
INFLB;1084;Hovedstaden;07-14;M;81243;25;0;0;0;0,00;0,00;30,77;0,00;
INFLB;1084;Hovedstaden;15-44;Alle;806914;318;0;0;0;0,00;0,00;39,41;0,00;
INFLB;1084;Hovedstaden;15-44;K;404832;196;0;0;0;0,00;0,00;48,42;0,00;
INFLB;1084;Hovedstaden;15-44;M;402082;122;0;0;0;0,00;0,00;30,34;0,00;
INFLB;1084;Hovedstaden;45-64;Alle;478291;251;1;0;0;0,00;0,21;52,48;0,00;
INFLB;1084;Hovedstaden;45-64;K;241383;143;1;0;0;0,01;0,41;59,24;0,00;
INFLB;1084;Hovedstaden;45-64;M;236908;108;0;0;0;0,00;0,00;45,59;0,00;
INFLB;1084;Hovedstaden;65-74;Alle;167649;188;0;0;0;0,00;0,00;112,14;0,00;
INFLB;1084;Hovedstaden;65-74;K;88044;102;0;0;0;0,00;0,00;115,85;0,00;
INFLB;1084;Hovedstaden;65-74;M;79605;86;0;0;0;0,00;0,00;108,03;0,00;
INFLB;1084;Hovedstaden;75-84;Alle;132611;216;0;0;0;0,00;0,00;162,88;0,00;
INFLB;1084;Hovedstaden;75-84;K;74264;105;0;0;0;0,00;0,00;141,39;0,00;
INFLB;1084;Hovedstaden;75-84;M;58347;111;0;0;0;0,00;0,00;190,24;0,00;
INFLB;1084;Hovedstaden;85+;Alle;41817;108;0;0;0;0,00;0,00;258,27;0,00;
INFLB;1084;Hovedstaden;85+;K;27065;50;0;0;0;0,00;0,00;184,74;0,00;
INFLB;1084;Hovedstaden;85+;M;14752;58;0;0;0;0,00;0,00;393,17;0,00;
INFLB;1084;Hovedstaden;Alle;Alle;1930137;1258;1;0;0;0,00;0,05;65,18;0,00;
INFLB;1084;Hovedstaden;Alle;K;983074;668;1;0;0;0,00;0,10;67,95;0,00;
INFLB;1084;Hovedstaden;Alle;M;947063;590;0;0;0;0,00;0,00;62,30;0,00;
INFLB;1082;Midtjylland;00-01;Alle;27525;8;0;0;0;0,00;0,00;29,06;0,00;
