"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-07-08T11:25:03.061"
RSV;1081;Nordjylland;06. 6-14 år;Alle;54198;3;0;0;0;0,00;0,00;5,54;0,00;
RSV;1081;Nordjylland;06. 6-14 år;K;26346;1;0;0;0;0,00;0,00;3,80;0,00;
RSV;1081;Nordjylland;06. 6-14 år;M;27852;2;0;0;0;0,00;0,00;7,18;0,00;
RSV;1081;Nordjylland;07. 15-44 år;Alle;211940;14;0;0;0;0,00;0,00;6,61;0,00;
RSV;1081;Nordjylland;07. 15-44 år;K;101408;10;0;0;0;0,00;0,00;9,86;0,00;
RSV;1081;Nordjylland;07. 15-44 år;M;110532;4;0;0;0;0,00;0,00;3,62;0,00;
RSV;1081;Nordjylland;08. 45-64 år;Alle;152651;23;0;0;0;0,00;0,00;15,07;0,00;
RSV;1081;Nordjylland;08. 45-64 år;K;75908;11;0;0;0;0,00;0,00;14,49;0,00;
RSV;1081;Nordjylland;08. 45-64 år;M;76743;12;0;0;0;0,00;0,00;15,64;0,00;
RSV;1081;Nordjylland;09. 65-74 år;Alle;69407;25;0;0;0;0,00;0,00;36,02;0,00;
RSV;1081;Nordjylland;09. 65-74 år;K;35409;15;0;0;0;0,00;0,00;42,36;0,00;
RSV;1081;Nordjylland;09. 65-74 år;M;33998;10;0;0;0;0,00;0,00;29,41;0,00;
RSV;1081;Nordjylland;10. 75-84 år;Alle;53161;49;0;0;0;0,00;0,00;92,17;0,00;
RSV;1081;Nordjylland;10. 75-84 år;K;28072;23;0;0;0;0,00;0,00;81,93;0,00;
RSV;1081;Nordjylland;10. 75-84 år;M;25089;26;0;0;0;0,00;0,00;103,63;0,00;
RSV;1081;Nordjylland;11. 85+ år;Alle;16535;23;0;0;0;0,00;0,00;139,10;0,00;
RSV;1081;Nordjylland;11. 85+ år;K;10002;10;0;0;0;0,00;0,00;99,98;0,00;
RSV;1081;Nordjylland;11. 85+ år;M;6533;13;0;0;0;0,00;0,00;198,99;0,00;
RSV;1081;Nordjylland;Alle;Alle;591869;146;0;0;0;0,00;0,00;24,67;0,00;
RSV;1081;Nordjylland;Alle;K;293561;74;0;0;0;0,00;0,00;25,21;0,00;
RSV;1081;Nordjylland;Alle;M;298308;72;0;0;0;0,00;0,00;24,14;0,00;
RSV;1085;Sjælland;01. 0-5 måneder;Alle;3497;3;0;0;0;0,00;0,00;85,79;0,00;
RSV;1085;Sjælland;01. 0-5 måneder;K;1710;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;01. 0-5 måneder;M;1787;3;0;0;0;0,00;0,00;167,88;0,00;
RSV;1085;Sjælland;02. 6-11 måneder;Alle;3624;3;0;0;0;0,00;0,00;82,78;0,00;
RSV;1085;Sjælland;02. 6-11 måneder;K;1767;3;0;0;0;0,00;0,00;169,78;0,00;
RSV;1085;Sjælland;02. 6-11 måneder;M;1857;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;03. 1 år;Alle;7071;4;0;0;0;0,00;0,00;56,57;0,00;
RSV;1085;Sjælland;03. 1 år;K;3406;3;0;0;0;0,00;0,00;88,08;0,00;
RSV;1085;Sjælland;03. 1 år;M;3665;1;0;0;0;0,00;0,00;27,29;0,00;
RSV;1085;Sjælland;04. 2 år;Alle;7759;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;04. 2 år;K;3798;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;04. 2 år;M;3961;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;05. 3-5 år;Alle;25587;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;05. 3-5 år;K;12441;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;05. 3-5 år;M;13146;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;06. 6-14 år;Alle;79806;6;0;0;0;0,00;0,00;7,52;0,00;
RSV;1085;Sjælland;06. 6-14 år;K;38803;1;0;0;0;0,00;0,00;2,58;0,00;
RSV;1085;Sjælland;06. 6-14 år;M;41003;5;0;0;0;0,00;0,00;12,19;0,00;
RSV;1085;Sjælland;07. 15-44 år;Alle;278196;12;0;0;0;0,00;0,00;4,31;0,00;
RSV;1085;Sjælland;07. 15-44 år;K;134772;5;0;0;0;0,00;0,00;3,71;0,00;
RSV;1085;Sjælland;07. 15-44 år;M;143424;7;0;0;0;0,00;0,00;4,88;0,00;
RSV;1085;Sjælland;08. 45-64 år;Alle;240623;21;0;0;0;0,00;0,00;8,73;0,00;
RSV;1085;Sjælland;08. 45-64 år;K;120957;9;0;0;0;0,00;0,00;7,44;0,00;
RSV;1085;Sjælland;08. 45-64 år;M;119666;12;0;0;0;0,00;0,00;10,03;0,00;
RSV;1085;Sjælland;09. 65-74 år;Alle;102512;10;0;0;0;0,00;0,00;9,75;0,00;
RSV;1085;Sjælland;09. 65-74 år;K;52903;1;0;0;0;0,00;0,00;1,89;0,00;
RSV;1085;Sjælland;09. 65-74 år;M;49609;9;0;0;0;0,00;0,00;18,14;0,00;
RSV;1085;Sjælland;10. 75-84 år;Alle;81917;9;0;0;0;0,00;0,00;10,99;0,00;
RSV;1085;Sjælland;10. 75-84 år;K;44185;3;0;0;0;0,00;0,00;6,79;0,00;
RSV;1085;Sjælland;10. 75-84 år;M;37732;6;0;0;0;0,00;0,00;15,90;0,00;
RSV;1085;Sjælland;11. 85+ år;Alle;23549;2;0;0;0;0,00;0,00;8,49;0,00;
RSV;1085;Sjælland;11. 85+ år;K;14339;2;0;0;0;0,00;0,00;13,95;0,00;
RSV;1085;Sjælland;11. 85+ år;M;9210;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1085;Sjælland;Alle;Alle;854141;70;0;0;0;0,00;0,00;8,20;0,00;
RSV;1085;Sjælland;Alle;K;429081;27;0;0;0;0,00;0,00;6,29;0,00;
RSV;1085;Sjælland;Alle;M;425060;43;0;0;0;0,00;0,00;10,12;0,00;
RSV;1083;Syddanmark;01. 0-5 måneder;Alle;5511;5;0;0;0;0,00;0,00;90,73;0,00;
RSV;1083;Syddanmark;01. 0-5 måneder;K;2713;3;0;0;0;0,00;0,00;110,58;0,00;
RSV;1083;Syddanmark;01. 0-5 måneder;M;2798;2;0;0;0;0,00;0,00;71,48;0,00;
RSV;1083;Syddanmark;02. 6-11 måneder;Alle;5516;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;02. 6-11 måneder;K;2677;0;0;0;0;0,00;0,00;0,00;0,00;
